model,pair,n_current,observed_diff_pp,sd_of_paired_diff,ci_half_width_pp,n_for_3pp,n_for_5pp,n_for_10pp
qwen3,all_layers vs gdn_only,128,5.5,0.551,9.6,2652,955,239
qwen3,all_layers vs gdn_plus_mlp,128,-0.8,0.425,7.4,1579,569,143
qwen3,all_layers vs mlp_only,128,2.3,0.425,7.4,1575,567,142
qwen3,all_layers vs softmax_only,128,9.4,0.46,8.0,1846,665,167
qwen3,all_layers vs softmax_plus_mlp,128,3.9,0.459,8.0,1841,663,166
qwen3,gdn_only vs gdn_plus_mlp,128,-6.2,0.448,7.8,1752,631,158
qwen3,gdn_only vs mlp_only,128,-3.1,0.451,7.8,1777,640,160
qwen3,gdn_only vs softmax_only,128,3.9,0.508,8.8,2253,811,203
qwen3,gdn_only vs softmax_plus_mlp,128,-1.6,0.469,8.1,1921,692,173
qwen3,gdn_plus_mlp vs mlp_only,128,3.1,0.434,7.5,1640,591,148
qwen3,gdn_plus_mlp vs softmax_only,128,10.2,0.53,9.2,2451,883,221
qwen3,gdn_plus_mlp vs softmax_plus_mlp,128,4.7,0.5,8.7,2179,785,197
qwen3,mlp_only vs softmax_only,128,7.0,0.489,8.5,2086,751,188
qwen3,mlp_only vs softmax_plus_mlp,128,1.6,0.434,7.5,1646,593,149
qwen3,softmax_only vs softmax_plus_mlp,128,-5.5,0.475,8.2,1966,708,177
falcon,all_eligible vs attention_only,256,-3.5,0.496,6.1,2144,772,193
falcon,all_eligible vs attention_plus_mlp,256,3.5,0.409,5.0,1460,526,132
falcon,all_eligible vs mlp_only,256,1.2,0.36,4.4,1128,406,102
falcon,all_eligible vs ssm_only,256,0.4,0.447,5.5,1745,628,157
falcon,all_eligible vs ssm_plus_mlp,256,-1.6,0.343,4.2,1024,369,93
falcon,attention_only vs attention_plus_mlp,256,7.0,0.488,6.0,2078,748,187
falcon,attention_only vs mlp_only,256,4.7,0.483,5.9,2033,732,183
falcon,attention_only vs ssm_only,256,3.9,0.499,6.1,2176,784,196
falcon,attention_only vs ssm_plus_mlp,256,2.0,0.497,6.1,2152,775,194
falcon,attention_plus_mlp vs mlp_only,256,-2.3,0.306,3.7,816,294,74
falcon,attention_plus_mlp vs ssm_only,256,-3.1,0.414,5.1,1497,539,135
falcon,attention_plus_mlp vs ssm_plus_mlp,256,-5.1,0.398,4.9,1380,497,125
falcon,mlp_only vs ssm_only,256,-0.8,0.415,5.1,1505,542,136
falcon,mlp_only vs ssm_plus_mlp,256,-2.7,0.359,4.4,1123,404,101
falcon,ssm_only vs ssm_plus_mlp,256,-2.0,0.359,4.4,1126,406,102
